"id","elite_player","opponent","match_tournament","year","surface","set_score","game_score","point_score","pressure_trigger","timestamp","source_link","clip_file_name","player_to_analyze","server_if_known","uploader_note","serve_or_return","point_outcome","first_serve_in","rally_length","primary_pattern","aggression_level","risk_decision","shot_that_decided_point","error_or_winner_type","reset_behavior","body_language_note","tactical_principle","coaching_takeaway","tags","confidence_level","ai_notes","review_status","reviewer_correction","approved_for_library","point_pattern_family","pattern_hierarchy"
"ELITE-001","Carlos Alcaraz","Jannik Sinner","Roland Garros","2025","Clay","0-0","1-1","15-30","15-30","00:00:14","https://youtu.be/aERKJuBtIGw?si=14kPhFEhR8mwm0TB","ELITE-001_Alcaraz_Sinner_RolandGarros2025_15-30","Carlos Alcaraz","Jannik Sinner","User-provided clip/context. Score mapping normalized as Set Score = 1st set, Game Score = 1-1, Point Score = 15-30.","Return","Alcaraz wins the point","Yes","12","Alcaraz neutralizes a strong first serve, stays in the baseline exchange, then uses a short/angled transition ball to pull Sinner forward and finishes at/near the net into the open court.","Medium-High","Controlled attacking risk after neutralizing the serve; Alcaraz does not overhit early, then moves forward once Sinner is pulled out of position.","Alcaraz forehand at/near the net into open court","Alcaraz forehand winner","After winning the point, Alcaraz gives a short fist pump.","Upright posture after the point; visible fist pump celebration.","On a 15-30 return point, Alcaraz first absorbs the first serve, extends the rally, then changes the point from baseline exchange to forecourt pressure.","On return pressure points, the first job is to neutralize the serve. Once the rally is stable, look for the moment to change direction, shorten the court, and move forward to finish.","[""Alcaraz"",""Sinner"",""Roland Garros 2025"",""clay"",""return point"",""15-30"",""first serve in"",""transition attack"",""forecourt finish"",""forehand winner""]","Medium","Scoreboard confirms Sinner serving at 1-1, 15-30. Serve speed graphic shows 201 km/h, supporting first-serve-in classification. Rally length is approximate because exact ball contact count is slightly hard to verify from the screen recording angle.","Reviewed","","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Alcaraz neutralizes a strong first serve, stays in the baseline exchange, then uses a short/angled transition ball to pull Sinner forward and finishes at/near the net into the open court."
"ELITE-002","Novak Djokovic","Rafael Nadal","Monte Carlo","2009","Clay","3-3","30-40","","Break Point","00:00:01","https://youtu.be/GYMVmf7tcDE?si=qj_erRFVGaiC1097","ELITE-002_Djokovic_Nadal_MonteCarlo2009-BreakPoint","Novak Djokovic","Novak Djokovic","User-provided context. Human review corrected rally length, serve status, drop-shot pattern, and final shot.","Serve","Djokovic wins the point and saves break point, moving score to deuce","No","19","Djokovic plays a second-serve pressure point, stays in the rally, then uses a drop shot to pull Nadal forward before finishing with a cross-court backhand passing shot.","Medium","Controlled risk; Djokovic does not force early from the baseline, then changes the pattern with the drop shot and commits to the pass once Nadal is drawn forward.","Djokovic cross-court backhand passing shot","Djokovic backhand passing-shot winner","After winning the point, Djokovic walks back calmly with no major celebration visible.","Controlled posture after saving break point.","Under break point pressure, Djokovic uses variety rather than raw power: second serve, rally tolerance, drop shot to bring Nadal forward, then backhand pass into space.","On clay, pressure-point offense can come from changing court geometry, not just hitting bigger. A drop shot can force the opponent forward and create a passing-shot lane.","[""Djokovic"",""Nadal"",""clay"",""break point"",""second serve"",""30-40"",""19-shot rally"",""drop shot"",""backhand pass"",""passing-shot winner""]","High","Corrected after human review: rally length is 19, point is on second serve, pattern includes Djokovic drop shot drawing Nadal forward, and the winner is a cross-court backhand passing shot. Tournament label kept as user-provided; source context can be rechecked later if needed. Original first-serve classification detail: No — second serve point.","Reviewed","Human corrected: rally length 19; second serve; drop shot draws Nadal forward; final shot is cross-court backhand passing-shot winner.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Djokovic plays a second-serve pressure point, stays in the rally, then uses a drop shot to pull Nadal forward before finishing with a cross-court backhand passing shot."
"ELITE-003","Roger Federer","Nick Kyrgios","Miami Open","2017","Hard","6-6","4-4 Tiebreak","","Tiebreak","00:02:15","https://youtu.be/_XHphhtqjLk?si=eM3PDiTQC42NCX0x","ELITE-003_Federer_Kyrgios_Miami2017_Tiebreak","Roger Federer","Roger Federer","User-provided clip/context. Short clip; AI-observed fields are based on visible point sequence only.","Serve","Federer wins the point","Yes","5","Federer uses a wide serve to pull Kyrgios off court, takes control immediately, moves forward, and finishes the short point with a smash at the net.","Medium-High","Controlled attacking risk; Federer uses the wide serve to create the advantage, commits forward quickly, and finishes before the point becomes a neutral rally.","Federer smash/overhead finish at the net","Federer smash winner","After the point, Federer remains composed near the net and turns back toward the court with no large celebration visible.","Balanced posture at net after finishing; no obvious emotional gesture in the clip.","At 4-4 in a tiebreak, Federer creates immediate pressure with the wide serve, moves forward behind the advantage, and finishes from the forecourt.","On tiebreak serve points, a wide serve can create the first-strike advantage. The key is to recognize the short ball/open court early, move forward decisively, and finish cleanly.","[""Federer"",""Kyrgios"",""Miami Open 2017"",""hard court"",""tiebreak"",""4-4"",""serve point"",""wide serve"",""first-strike tennis"",""net transition"",""smash winner"",""forecourt finish"",""5-shot point""]","High","Corrected after human review: rally length is approx. 5 shots. Federer does not stay in a baseline rally; he takes control after a wide serve, moves forward, and finishes with a smash.","Reviewed","Human corrected: rally length approx. 5; pattern is wide serve, immediate control, forward movement, smash finish.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Federer uses a wide serve to pull Kyrgios off court, takes control immediately, moves forward, and finishes the short point with a smash at the net."
"ELITE-004","Carlos Alcaraz","Lorenzo Musetti","Monte Carlo","2025","Clay","1-0","40-40","","Advantage Out","00:00:52","https://youtu.be/ZDZ3a6sQ-bk?si=b-o_ftr-rmxg3B2O","ELITE-004_Alcaraz_Musetti_MonteCarlo2025_AD","Carlos Alcaraz","Lorenzo Musetti","","Serve","Alcaraz wins the point and saves break point, returning the game to deuce","No","7","Alcaraz plays a second-serve pressure point with margin, absorbs the return, then moves inside the court and takes control with his forehand.","Medium-High","Controlled risk; Alcaraz uses margin to avoid overplaying early, then steps in once he has the right ball.","Alcaraz forehand winner from inside the court","Alcaraz forehand winner","Alcaraz responds with a visible fist pump and vocal reaction after winning the point.","After the point, Alcaraz steps forward with upright posture and clenched fist celebration.","Under break-point pressure on serve, Alcaraz uses margin first, then moves forward to dictate once the rally opens up.","On second serve under pressure, use shape and margin to enter the rally, then look for the first ball that allows you to step in and finish from inside the court.","[""Alcaraz"",""Musetti"",""Monte Carlo 2025"",""clay"",""break point saved"",""second serve"",""advantage out"",""margin"",""inside-court forehand"",""forehand winner"",""pressure control""]","High","Corrected after human review: rally length is 7 shots, and the deciding shot is an Alcaraz forehand winner from inside the court. Pattern supports margin first, then moving forward to dictate under pressure. Original first-serve classification detail: No — second serve point.","Reviewed","Human corrected: rally length 7; deciding shot forehand winner from inside court.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Alcaraz plays a second-serve pressure point with margin, absorbs the return, then moves inside the court and takes control with his forehand."
"ELITE-005","Carlos Alcaraz","Lorenzo Musetti","Monte Carlo","2025","Clay","1-0","30-30","","30-30","00:00:30","https://youtu.be/ZDZ3a6sQ-bk?si=b-o_ftr-rmxg3B2O","ELITE-005_Alcaraz_Musetti_MonteCarlo2025_30-30","Carlos Alcaraz","Carlos Alcaraz","","Serve","Alcaraz wins the point","Yes","3","Alcaraz hits a successful short wide serve that pulls Musetti out of position, recognizes the advantage immediately, moves forward, closes the net, and finishes with a forehand drop volley winner.","High","Controlled first-strike aggression; Alcaraz uses the serve-created advantage to move forward quickly and finish with touch rather than extending the rally.","Alcaraz forehand drop volley winner","Alcaraz forehand drop volley winner","Alcaraz turns away and resets calmly after the point; no major celebration visible in the short clip.","Forward court position after closing the net; composed posture after finishing.","At 30-30, Alcaraz uses the short wide serve to create immediate court advantage, then closes forward before Musetti can recover.","When a wide serve pulls the opponent off court, recognize the advantage early. Move forward decisively and use the open court or soft hands to finish before the point resets.","[""Alcaraz"",""Musetti"",""Monte Carlo 2025"",""clay"",""30-30"",""first serve in"",""short wide serve"",""serve-plus-one"",""net close"",""drop volley winner"",""first-strike tennis"",""pressure dictation""]","High","Corrected after human review: Alcaraz's first-ball pressure comes from recognizing a successful short wide serve, moving forward, closing the net, and finishing with a forehand drop volley winner.","Reviewed","Human confirmed: first-ball pressure after successful short wide serve; final shot forehand drop volley winner.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Alcaraz hits a successful short wide serve that pulls Musetti out of position, recognizes the advantage immediately, moves forward, closes the net, and finishes with a forehand drop volley winner."
"ELITE-006","Jannik Sinner","Alexander Zverev","Indian Wells","2026","Hard","0-0","40-AD","","Advantage In","00:02:50","https://youtu.be/sC5-bqnF2lc?si=CMKJxOQMkO7jTiGE","ELITE-006_Sinner_Zverev_IndianWells2026_AD in","Jannik Sinner","Alexander Zverev","","Return","Sinner wins the point and brings the game back to deuce","No","14","Sinner returns Zverev's second serve, stays solid through the rally, and moves the ball around with margin. He uses short angles and/or high-pace attacks that are placed safely away from the lines, keeping pressure without over-risking, then finishes forward with a forehand volley.","Medium-High","Controlled margin-based aggression; Sinner attacks with pace and direction, but avoids aiming too close to the lines.","Sinner forehand volley finish","Sinner forehand volley winner","After the point, Sinner walks away calmly with no large celebration visible.","Composed posture after the point; controlled walk back after winning the exchange.","On a return pressure point, Sinner creates pressure through stability, safe pace, and controlled angles rather than low-margin line-hitting.","Under pressure, you can attack without aiming for the lines. Use pace, shape, and short angles with margin to move the opponent while keeping your own error risk low.","[""Sinner"",""Zverev"",""Indian Wells 2026"",""hard court"",""return point"",""advantage in"",""second serve"",""14-shot rally"",""controlled aggression"",""margin"",""short angles"",""safe pace"",""forehand volley winner"",""pressure stability""]","High","Human-confirmed: rally length is 14 and the point ends with a Sinner forehand volley winner. Key pattern is Sinner's controlled, margin-based pressure: short angles or pace placed safely away from the lines, staying solid throughout before finishing forward. Original first-serve classification detail: No — second serve point.","Reviewed","Human corrected: rally length 14; pattern is margin-based pressure with short angles/safe pace away from lines; final shot forehand volley.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Sinner returns Zverev's second serve, stays solid through the rally, and moves the ball around with margin. He uses short angles and/or high-pace attacks that are placed safely away from the lines, keeping pressure without over-risking, then finishes forward with a forehand volley."
"ELITE-007","Jannik Sinner","Alexander Zverev","Indian Wells","2026","Hard","0-0","40-40","","Deuce","00:03:12","https://youtu.be/sC5-bqnF2lc?si=CMKJxOQMkO7jTiGE","ELITE-007_Sinner_Zverev_IndianWells2026_Deuce","Jannik Sinner","Alexander Zverev","","Return","Sinner wins the point and moves from deuce to advantage","No","10","Sinner returns Zverev's second serve, stays solid with margin-based pressure, moves the ball safely, then steps forward when the short/attackable ball appears and finishes at the net.","Medium-High","Controlled margin-based aggression; Sinner avoids low-margin line-hitting early, builds pressure safely, then commits forward once the court position is available.","Sinner backhand volley finish","Sinner backhand volley winner","After winning the point, Sinner walks back calmly with no major celebration visible.","Composed posture after the point; controlled walk away after reaching advantage.","At deuce on return, Sinner creates pressure by staying stable and using safe pace/placement before turning the point into a forward finish.","On deuce return points, neutralize the second serve first, move the opponent with margin, and step forward only when the short ball appears.","[""Sinner"",""Zverev"",""Indian Wells 2026"",""hard court"",""deuce"",""return point"",""second serve"",""10-shot rally"",""controlled aggression"",""margin"",""safe pace"",""forward transition"",""backhand volley winner""]","High","Corrected after human review: rally length is 10 shots and the finishing shot is a Sinner backhand volley winner. Pattern aligns with ELITE-006: solid return, margin-based pressure, safe movement of the ball, then forward transition to finish. Original first-serve classification detail: No — second serve point.","Reviewed","Human corrected: rally length 10; final shot backhand volley, not forehand volley.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Sinner returns Zverev's second serve, stays solid with margin-based pressure, moves the ball safely, then steps forward when the short/attackable ball appears and finishes at the net."
"ELITE-008","Novak Djokovic","Rafael Nadal","Wimbledon","2018","Grass","6-6","","10-9","Tiebreak","02:53:44","https://youtu.be/V96sSCV03ng?si=llAFDS-te5lmf4Lw","ELITE-008_Djokovic_Nadal_Wimbledon2018_Tiebreak","Novak Djokovic","Novak Djokovic","","Serve","Djokovic wins the point on the tiebreak pressure point","Unknown","17","Djokovic builds the grass-court pressure point with high-margin groundstrokes placed safely away from the lines, while still attacking through depth, pace, and direction. He keeps Nadal under pressure without taking low-margin line risk.","Medium-High","Controlled margin-based aggression; Djokovic attacks through depth, pace, and direction while keeping the ball safely inside the court instead of aiming at the lines.","Djokovic deep attacking groundstroke sequence that forces Nadal into a defensive final ball","Nadal forced error after Djokovic's controlled attacking pattern","Djokovic resets calmly after the point; no major celebration is clearly visible in the clip.","Balanced, composed posture after winning the point.","Djokovic shows that pressure-point aggression does not have to mean line-hitting: he attacks with safe depth, direction, and tempo while maintaining margin.","Under pressure, attack with margin. Use depth, pace, and direction to dictate while keeping the ball away from the lines and reducing error risk.","[""Djokovic"",""Nadal"",""Wimbledon 2018"",""grass"",""tiebreak point"",""10-9"",""serve point"",""17-shot rally"",""high-margin aggression"",""safe away from lines"",""depth"",""forced error""]","High","User confirmed the ELITE-008 AI filler looked good. Key pattern: Djokovic plays safe away from the lines but still attacks and dictates through depth, pace, and direction. Rally length approx. 17 shots. Original first-serve classification detail: Unknown — clip does not clearly show whether this was first or second serve.","Reviewed","User confirmed: looks good.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Djokovic builds the grass-court pressure point with high-margin groundstrokes placed safely away from the lines, while still attacking through depth, pace, and direction. He keeps Nadal under pressure without taking low-margin line risk."
"ELITE-009","Rafael Nadal","Novak Djokovic","Wimbledon","2018","Grass","2-3","40-30","","40-30","02:05:54","https://youtu.be/V96sSCV03ng?si=llAFDS-te5lmf4Lw","ELITE-009_Nadal_Djokovic_Wimbledon2018_40-30","Rafael Nadal","Rafael Nadal","","Serve","Nadal wins the 40-30 service point","Yes","14","Nadal starts the point on serve, then builds a long grass-court baseline exchange with heavy, high-margin depth. He moves Djokovic with controlled direction and pace, stays away from unnecessary line risk, and finishes by accelerating a forehand into the open court.","Medium-High","Controlled margin-based aggression; Nadal does not force a low-percentage winner early, but uses depth, shape, and direction to create the opening before attacking with the forehand.","Nadal attacking forehand into the open court","Nadal forehand winner","After the point, Nadal remains composed near the baseline; no large celebration is clearly visible in the clip.","Stable baseline posture through the rally and controlled body language after finishing the point.","Nadal creates pressure by combining rally tolerance with margin, then converts the first clear opening into a forehand attack rather than overplaying early.","On a 40-30 service point, build pressure with safe depth and direction first. Once the opponent is stretched or off balance, accelerate into the open court with margin.","[""Nadal"",""Djokovic"",""Wimbledon 2018"",""grass"",""40-30"",""serve point"",""first serve in"",""14-shot rally"",""high-margin aggression"",""forehand pressure"",""forehand winner""]","High","Corrected after human review: rally length is 14 shots. Other AI analysis accepted: Nadal builds the point with high-margin depth, controlled direction and pace, then accelerates a forehand into the open court.","Reviewed","Human corrected: rally length 14; everything else looked pretty good.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Nadal starts the point on serve, then builds a long grass-court baseline exchange with heavy, high-margin depth. He moves Djokovic with controlled direction and pace, stays away from unnecessary line risk, and finishes by accelerating a forehand into the open court."
"ELITE-010","Rafael Nadal","Roger Federer","Australian Open","2017","Hard","2-0","40-AD","","Break Point","00:04:55","https://youtu.be/FiLk_kPsrpY?si=pQJJVe-m_-h-HgSA","ELITE-010_Nadal_Federer_AustralianOpen2017_BreakPoint","Rafael Nadal","Rafael Nadal","","Serve","Nadal wins the point and saves break point, returning the game to deuce","No","16","Nadal plays a second-serve break-point rally with high-margin depth, uses heavy topspin/shape to keep Federer back, then stretches Federer wide with controlled direction until Federer misses.","Medium-High","Controlled margin-based aggression; Nadal avoids going for a low-margin line winner and attacks through depth, shape, and direction.","Nadal deep/heavy groundstroke pressure to Federer’s wide forehand side","Federer forced forehand error","Nadal resets calmly near the baseline after saving break point; no large celebration is clearly visible in the clip.","Stable baseline posture throughout; composed after the point.","On break point against serve, Nadal uses rally tolerance and high-margin depth to turn pressure into control without overplaying.","On second serve down break point, protect the first ball with margin, then build pressure with depth and shape until the opponent is stretched into an error.","[""Nadal"",""Federer"",""Australian Open 2017"",""hard court"",""break point"",""second serve"",""16-shot rally"",""high-margin depth"",""heavy topspin"",""forced error"",""pressure save""]","High","Human reviewed: ELITE-010 is good as entered. Nadal wins a 16-shot second-serve break-point rally by using high-margin depth and direction to force the error. Original first-serve classification detail: No — second serve point.","Reviewed","Human reviewed: looks good.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Nadal plays a second-serve break-point rally with high-margin depth, uses heavy topspin/shape to keep Federer back, then stretches Federer wide with controlled direction until Federer misses."
